"","X","title","main_speaker","new_views","published_date","description","speaker_occupation","num_speaker","duration","comments","tags","languages","url","funny","courageous","confusing","beautiful","unconvincing","longwinded","informative","inspiring","fascinating","ingenious","persuasive","jawdrop","obnoxious","OK","top_rating","bottom_rating"
"462",462,"This country isn't just carbon neutral -- it's carbon negative","Tshering Tobgay",1891854.002,"11-03-2016","Deep in the Himalayas, on the border between China and India, lies the Kingdom of Bhutan, which has pledged to remain carbon neutral for all time. In this illuminating talk, Bhutan's Prime Minister Tshering Tobgay shares his country's mission to put happiness before economic growth and set a world standard for environmental preservation.","Prime Minister of Bhutan",1,1134,89,"['Buddhism', 'alternative energy', 'beauty', 'big problems', 'climate change', 'democracy', 'ecology', 'economics', 'environment', 'future', 'global development', 'global issues', 'goal-setting', 'government', 'green', 'happiness', 'humanity', 'innovation', 'nature', 'pollution', 'sustainability', 'trees', 'world cultures']",28,"https://www.ted.com/talks/tshering_tobgay_this_country_isn_t_just_carbon_neutral_it_s_carbon_negative
",876,1589,415,221,52,59,99,309,375,96,27,9,9,6,"courageous","OK"
"463",463,"The polyphonic me","Beardyman",1888799.57,"03-08-2013","Frustrated by not being able to sing two notes at the same time, musical inventor Beardyman built a machine to allow him to create loops and layers from just the sounds he makes with his voice. Given that he can effortlessly conjure the sound of everything from crying babies to buzzing flies, not to mention mimic pretty much any musical instrument imaginable, that's a lot of different sounds. Sit back and let the wall of sound of this dazzling performance wash over you.","Beatboxer and inventor",1,670,177,"['creativity', 'entertainment', 'music', 'technology']",32,"https://www.ted.com/talks/beardyman_the_polyphonic_me
",140,38,298,197,100,88,207,7,19,16,9,36,10,56,"confusing","inspiring"
"464",464,"Talk nerdy to me","Melissa Marshall",1888610.501,"12-10-2012","Melissa Marshall brings a message to all scientists (from non-scientists): We're fascinated by what you're doing. So tell us about it -- in a way we can understand. In just 4 minutes, she shares powerful tips on presenting complex scientific ideas to a general audience.","Communications teacher",1,274,350,"['collaboration', 'communication', 'engineering', 'presentation', 'science', 'speech', 'storytelling', 'teaching']",39,"https://www.ted.com/talks/melissa_marshall_talk_nerdy_to_me
",523,430,227,382,157,367,113,69,96,49,33,13,89,12,"funny","OK"
"465",465,"The jobs we'll lose to machines -- and the ones we won't","Anthony Goldbloom",1884099.408,"08-08-2016","Machine learning isn't just for simple tasks like assessing credit risk and sorting mail anymore -- today, it's capable of far more complex applications, like grading essays and diagnosing diseases. With these advances comes an uneasy question: Will a robot do your job in the future?","Machine learning expert",1,276,75,"['AI', 'collaboration', 'data', 'future', 'innovation', 'intelligence', 'machine learning', 'productivity', 'programming', 'robots', 'technology', 'work']",44,"https://www.ted.com/talks/anthony_goldbloom_the_jobs_we_ll_lose_to_machines_and_the_ones_we_won_t
",699,141,198,43,183,122,3,60,25,3,9,38,29,16,"funny","informative"
"466",466,"A life lesson from a volunteer firefighter","Mark Bezos",1881416.367,"16-03-2011","Volunteer firefighter Mark Bezos tells a story of an act of heroism that didn't go quite as expected -- but that taught him a big lesson: Don't wait to be a hero.","Activist, volunteer firefighter",1,247,163,"['community', 'compassion', 'culture']",48,"https://www.ted.com/talks/mark_bezos_a_life_lesson_from_a_volunteer_firefighter
",2079,1003,336,85,370,58,381,76,95,43,16,8,10,10,"funny","jawdrop"
"467",467,"The accelerating power of technology","Ray Kurzweil",1880757.326,"14-11-2006","Inventor, entrepreneur and visionary Ray Kurzweil explains in abundant, grounded detail why, by the 2020s, we will have reverse-engineered the human brain and nanobots will be operating your consciousness.","Inventor, futurist",1,1376,233,"['TED Brain Trust', 'biotech', 'business', 'culture', 'future', 'invention', 'robots', 'science', 'technology']",22,"https://www.ted.com/talks/ray_kurzweil_on_how_technology_will_transform_us
",61,207,111,91,55,150,806,388,18,691,309,237,141,27,"informative","fascinating"
"468",468,"12 truths I learned from life and writing","Anne Lamott",1879803.803,"10-06-2017","A few days before she turned 61, writer Anne Lamott decided to write down everything she knew for sure. She dives into the nuances of being a human who lives in a confusing, beautiful, emotional world, offering her characteristic life-affirming wisdom and humor on family, writing, the meaning of God, death and more.","Novelist, essayist",1,955,65,"['Christianity', 'God', 'aging', 'art', 'beauty', 'birds', 'books', 'communication', 'family', 'friendship', 'funny', 'humanity', 'love', 'personal growth', 'self', 'society', 'writing']",16,"https://www.ted.com/talks/anne_lamott_12_truths_i_learned_from_life_and_writing
",27,173,607,44,447,407,76,56,105,62,13,14,16,10,"confusing","OK"
"469",469,"Math is the hidden secret to understanding the world","Roger Antonsen",1877054.604,"19-11-2016","Unlock the mysteries and inner workings of the world through one of the most imaginative art forms ever -- mathematics -- with Roger Antonsen, as he explains how a slight change in perspective can reveal patterns, numbers and formulas as the gateways to empathy and understanding.","Logician, mathematician, computer scientist",1,1024,82,"['TEDx', 'art', 'beauty', 'communication', 'education', 'math', 'music', 'nature', 'philosophy', 'universe', 'visualizations']",25,"https://www.ted.com/talks/roger_antonsen_math_is_the_hidden_secret_to_understanding_the_world
",239,555,87,874,732,399,411,192,134,63,21,26,6,16,"beautiful","obnoxious"
"470",470,"A magical search for a coincidence","Helder Guimar?es",1874742.806,"28-02-2015","Small coincidences. They happen all the time and yet, they pass us by because we are not looking for them. In a delightfully subtle trick, magician Helder Guimar?es demonstrates with a deck of cards, a dollar bill and a stuffed giraffe.","Magician",1,791,65,"['entertainment', 'illusion', 'magic']",28,"https://www.ted.com/talks/helder_guimaraes_a_magical_search_for_a_coincidence
",39,35,15,105,336,88,103,27,186,385,319,22,19,25,"ingenious","confusing"
"471",471,"Lies, damned lies and statistics (about TEDTalks)","Sebastian Wernicke",1870107.962,"30-04-2010","In a brilliantly tongue-in-cheek analysis, Sebastian Wernicke turns the tools of statistical analysis on TEDTalks, to come up with a metric for creating ""the optimum TEDTalk"" based on user ratings. How do you rate it? ""Jaw-dropping""? ""Unconvincing""? Or just plain ""Funny""?","Data scientist",1,359,279,"['comedy', 'entertainment', 'humor', 'statistics']",37,"https://www.ted.com/talks/lies_damned_lies_and_statistics_about_tedtalks
",5552,1746,937,755,210,212,245,79,31,272,25,255,89,119,"funny","persuasive"
"472",472,"How your ""working memory"" makes sense of the world","Peter Doolittle",1867368.802,"23-11-2013","""Life comes at us very quickly, and what we need to do is take that amorphous flow of experience and somehow extract meaning from it."" In this funny, enlightening talk, educational psychologist Peter Doolittle details the importance -- and limitations -- of your ""working memory,"" that part of the brain that allows us to make sense of what's happening right now.","Educational psychology professor",1,569,258,"['brain', 'cognitive science', 'consciousness', 'intelligence', 'memory', 'mind', 'neuroscience', 'productivity', 'psychology', 'science']",35,"https://www.ted.com/talks/peter_doolittle_how_your_working_memory_makes_sense_of_the_world
",155,225,229,566,64,35,13,29,10,195,127,10,41,1,"beautiful","OK"
"473",473,"Your social media ""likes"" expose more than you think","Jennifer Golbeck",1866427.642,"03-04-2014","Do you like curly fries? Have you Liked them on Facebook? Watch this talk to find out the surprising things Facebook (and others) can guess about you from your random Likes and Shares. Computer scientist Jennifer Golbeck explains how this came about, how some applications of the technology are not so cute -- and why she thinks we should return the control of information to its rightful owners.","Computer scientist",1,595,138,"['TEDx', 'data', 'social media', 'sociology', 'technology']",31,"https://www.ted.com/talks/jennifer_golbeck_the_curly_fry_conundrum_why_social_media_likes_say_more_than_you_might_think
",1133,47,194,273,72,340,73,44,19,81,46,22,120,49,"funny","fascinating"
"474",474,"The battle between your present and future self","Daniel Goldstein",1864063.588,"22-12-2011","Every day, we make decisions that have good or bad consequences for our future selves. (Can I skip flossing just this one time?) Daniel Goldstein makes tools that help us imagine ourselves over time, so that we make smart choices for Future Us.","Behavioral economist",1,959,231,"['behavioral economics', 'business', 'culture', 'decision-making', 'economics', 'finance', 'self']",36,"https://www.ted.com/talks/daniel_goldstein_the_battle_between_your_present_and_future_self
",35,69,351,346,171,32,566,111,204,490,359,15,68,73,"informative","jawdrop"
"475",475,"Tracking our online trackers","Gary Kovacs",1861919.976,"04-05-2012","As you surf the Web, information is being collected about you. Web tracking is not 100% evil -- personal data can make your browsing more efficient; cookies can help your favorite websites stay in business. But, says Gary Kovacs, it's your right to know what data is being collected about you. He unveils a Firefox add-on, Collusion, to do just that. (Update: Collusion is now called Lightbeam.)","",1,399,257,"['Internet', 'advertising', 'business', 'privacy', 'technology']",32,"https://www.ted.com/talks/gary_kovacs_tracking_the_trackers
",910,492,1513,745,256,132,44,311,113,24,26,24,21,31,"confusing","obnoxious"
"476",476,"The surprising way groups like ISIS stay in power","Benedetta Berti",1861089.335,"10-08-2015","ISIS, Hezbollah, Hamas. These three very different groups are known for violence ? but that¡¯s only a portion of what they do, says policy analyst Benedetta Berti. They also attempt to win over populations with social work: setting up schools and hospitals, offering safety and security, and filling the gaps left by weak governments. Understanding the broader work of these groups suggests new strategies for ending the violence.","International policy analyst",1,338,265,"['Middle East', 'TED Fellows', 'global issues', 'politics', 'terrorism', 'violence']",33,"https://www.ted.com/talks/benedetta_berti_the_surprising_way_groups_like_isis_stay_in_power
",1082,492,63,311,35,90,31,116,58,171,248,23,129,21,"funny","OK"
"477",477,"Teach teachers how to create magic","Christopher Emdin",1859767.883,"09-04-2014","What do rap shows, barbershop banter and Sunday services have in common? As Christopher Emdin says, they all hold the secret magic to enthrall and teach at the same time ? and it's a skill we often don't teach to educators. A longtime teacher himself, now a science advocate and cofounder of Science Genius B.A.T.T.L.E.S. with the GZA of the Wu-Tang Clan, Emdin offers a vision to make the classroom come alive.","Education pioneer",1,414,206,"['education', 'innovation', 'magic', 'presentation', 'religion', 'science', 'social change', 'storytelling', 'teaching']",32,"https://www.ted.com/talks/christopher_emdin_teach_teachers_how_to_create_magic
",376,204,260,1011,490,226,107,121,42,69,20,109,35,51,"beautiful","persuasive"
"478",478," How CRISPR lets us edit our DNA","Jennifer Doudna",1858865.953,"21-10-2015","Geneticist Jennifer Doudna co-invented a groundbreaking new technology for editing genes, called CRISPR-Cas9. The tool allows scientists to make precise edits to DNA strands, which could lead to treatments for genetic diseases ... but could also be used to create so-called ""designer babies."" Doudna reviews how CRISPR-Cas9 works -- and asks the scientific community to pause and discuss the ethics of this new tool.","Biologist",1,953,217,"['Bioethics', 'CRISPR', 'DNA', 'biotech', 'engineering', 'future', 'genetics', 'health', 'innovation', 'medical research', 'medicine', 'molecular biology', 'philosophy', 'science', 'software', 'synthetic biology', 'technology', 'virus']",29,"https://www.ted.com/talks/jennifer_doudna_we_can_now_edit_our_dna_but_let_s_do_it_wisely
",145,103,78,583,183,18,52,155,453,148,5,15,15,12,"beautiful","persuasive"
"479",479,"Why our screens make us less happy","Adam Alter",1851737.235,"14-07-2017","What are our screens and devices doing to us? Psychologist Adam Alter studies how much time screens steal from us and how they're getting away with it. He shares why all those hours you spend staring at your smartphone, tablet or computer might be making you miserable -- and what you can do about it.","Psychologist",1,569,29,"['Addiction', 'computers', 'interface design', 'psychology', 'social media', 'software', 'technology']",19,"https://www.ted.com/talks/adam_alter_why_our_screens_make_us_less_happy
",293,154,351,421,39,50,24,59,19,1,1,0,0,0,"beautiful","jawdrop"
"480",480,"My year of living biblically","AJ Jacobs",1850892.975,"17-07-2008","Author, philosopher, prankster and journalist AJ Jacobs talks about the year he spent living biblically -- following the rules in the Bible as literally as possible.","Author",1,1060,583,"['comedy', 'culture', 'entertainment', 'humanity', 'humor', 'religion', 'writing']",39,"https://www.ted.com/talks/a_j_jacobs_year_of_living_biblically
",531,345,376,936,219,130,422,250,150,116,105,50,52,45,"beautiful","OK"
"481",481,"Deep sea diving ... in a wheelchair","Sue Austin",1850237.006,"09-01-2013","When Sue Austin got a power wheelchair, she felt a tremendous sense of freedom -- yet others looked at her as though she had lost something. In her art, she conveys the spirit of wonder she feels wheeling through the world. Includes thrilling footage of an underwater wheelchair that lets her explore ocean beds, drifting through schools of fish, floating free in 360 degrees. ","Performance artist",1,578,197,"['TEDx', 'art', 'disability', 'oceans', 'performance art']",31,"https://www.ted.com/talks/sue_austin_deep_sea_diving_in_a_wheelchair
",188,589,283,212,30,76,341,7,14,36,52,10,10,15,"courageous","inspiring"
"482",482,"What's wrong with our food system","Birke Baehr",1845567.401,"30-11-2010","At a TEDx event, 11-year-old Birke Baehr presents his take on a major source of our food -- far-away and less-than-picturesque industrial farms. Keeping farms out of sight promotes a rosy, unreal picture of big-box agriculture, he argues, as he outlines the case to green and localize food production.","Aspiring organic farmer",1,314,767,"['TEDx', 'agriculture', 'business', 'environment', 'food', 'green', 'health', 'sustainability']",39,"https://www.ted.com/talks/birke_baehr_what_s_wrong_with_our_food_system
",359,670,653,500,1187,293,370,218,129,179,811,55,263,37,"unconvincing","OK"
"483",483,"Why I fell in love with monster prime numbers","Adam Spencer",1843639.052,"04-09-2013","They're millions of digits long, and it takes an army of mathematicians and machines to hunt them down -- what's not to love about monster primes? Adam Spencer, comedian and lifelong math geek, shares his passion for these odd numbers, and for the mysterious magic of math.","Science communicator",1,1037,202,"['humor', 'math']",28,"https://www.ted.com/talks/adam_spencer_why_i_fell_in_love_with_monster_prime_numbers
",523,284,502,100,339,117,124,56,14,11,11,50,10,7,"funny","OK"
"484",484,"Why Google Glass?","Sergey Brin",1841530.096,"18-05-2013","It's not a demo, more of a philosophical argument: Why did Sergey Brin and his team at Google want to build an eye-mounted camera/computer, codenamed Glass? Onstage at TED2013, Brin calls for a new way of seeing our relationship with our mobile computers -- not hunched over a screen but meeting the world heads-up.","Computer scientist, entrepreneur and philanthropist",1,435,339,"['TED Brain Trust', 'culture', 'design', 'interface design', 'technology']",38,"https://www.ted.com/talks/sergey_brin_why_google_glass
",345,142,130,144,86,55,239,101,54,24,61,117,23,16,"funny","OK"
"485",485,"See invisible motion, hear silent sounds","Michael Rubinstein",1836204.551,"24-12-2014","Meet the ¡°motion microscope,¡± a video-processing tool that plays up tiny changes in motion and color impossible to see with the naked eye. Video researcher Michael Rubinstein plays us clip after jaw-dropping clip showing how this tech can track an individual¡¯s pulse and heartbeat simply from a piece of footage. Watch him re-create a conversation by amplifying the movements from sound waves bouncing off a bag of chips. The wow-inspiring and sinister applications of this tech you have to see to believe.","Research scientist, Google",1,798,102,"['TEDx', 'demo', 'film', 'online video', 'photography', 'sight', 'sound', 'technology']",30,"https://www.ted.com/talks/michael_rubinstein_see_invisible_motion_hear_silent_sounds_cool_creepy_we_can_t_decide
",986,366,890,922,60,605,8,128,17,15,18,195,3,4,"funny","obnoxious"
"486",486,"Get ready for hybrid thinking","Ray Kurzweil",1834767.807,"03-06-2014","Two hundred million years ago, our mammal ancestors developed a new brain feature: the neocortex. This stamp-sized piece of tissue (wrapped around a brain the size of a walnut) is the key to what humanity has become. Now, futurist Ray Kurzweil suggests, we should get ready for the next big leap in brain power, as we tap into the computing power in the cloud.","Inventor, futurist",1,592,180,"['AI', 'TED Brain Trust', 'brain', 'cloud', 'evolution', 'future', 'technology']",29,"https://www.ted.com/talks/ray_kurzweil_get_ready_for_hybrid_thinking
",475,151,180,63,119,399,222,58,23,36,27,10,31,24,"funny","jawdrop"
"487",487,"My invention that made peace with lions","Richard Turere",1834694.348,"27-03-2013","In the Maasai community where Richard Turere lives with his family, cattle are all-important. But lion attacks were growing more frequent. In this short, inspiring talk, the young inventor shares the solar-powered solution he designed to safely scare the lions away.","Inventor",1,440,246,"['agriculture', 'biodiversity', 'technology']",43,"https://www.ted.com/talks/richard_turere_a_peace_treaty_with_the_lions
",812,160,1283,274,268,43,43,11,289,98,126,16,13,15,"confusing","inspiring"
"488",488,"Are we designed to be sexual omnivores?","Christopher Ryan",1833245.975,"21-02-2014","An idea permeates our modern view of relationships: that men and women have always paired off in sexually exclusive relationships. But before the dawn of agriculture, humans may actually have been quite promiscuous. Author Christopher Ryan walks us through the controversial evidence that human beings are sexual omnivores by nature, in hopes that a more nuanced understanding may put an end to discrimination, shame and the kind of unrealistic expectations that kill relationships.","Psychologist",1,842,290,"['culture', 'relationships', 'sex']",26,"https://www.ted.com/talks/christopher_ryan_are_we_designed_to_be_sexual_omnivores
",498,59,288,226,95,798,246,505,28,87,87,101,28,17,"longwinded","OK"
"489",489,"Israel and Iran: A love story?","Ronny Edry",1831468.613,"22-12-2012","When war between Israel and Iran seemed imminent, Israeli graphic designer Ronny Edry shared a poster on Facebook of himself and his daughter with a bold message: ""Iranians ... we [heart] you."" Other Israelis quickly created their own posters with the same message -- and Iranians responded in kind. The simple act of communication inspired surprising Facebook communities like ""Israel loves Iran,"" ""Iran loves Israel"" and even ""Palestine loves Israel.""","Graphic Designer",1,897,810,"['Iran', 'Middle East', 'TEDx', 'design', 'global issues', 'peace']",33,"https://www.ted.com/talks/israel_and_iran_a_love_story
",661,151,577,1067,44,122,171,125,41,35,7,26,15,6,"beautiful","OK"
"490",490,"When ideas have sex","Matt Ridley",1831408.674,"14-07-2010","At TEDGlobal 2010, author Matt Ridley shows how, throughout history, the engine of human progress has been the meeting and mating of ideas to make new ideas. It's not important how clever individuals are, he says; what really matters is how smart the collective brain is.","Rational optimist",1,986,459,"['business', 'collaboration', 'design', 'technology']",34,"https://www.ted.com/talks/matt_ridley_when_ideas_have_sex
",259,981,762,1124,39,539,1331,274,133,121,21,68,20,44,"informative","obnoxious"
"491",491,"The call to learn","Clifford Stoll",1829457.804,"26-03-2008","Clifford Stoll captivates his audience with a wildly energetic sprinkling of anecdotes, observations, asides -- and even a science experiment. After all, by his own definition, he's a scientist: ""Once I do something, I want to do something else.""","Astronomer, educator, skeptic",1,1077,251,"['culture', 'education', 'science', 'technology', 'web']",27,"https://www.ted.com/talks/clifford_stoll_on_everything
",126,119,195,645,432,1243,86,177,773,278,362,228,92,65,"longwinded","OK"
"492",492,"A new equation for intelligence","Alex Wissner-Gross",1827206.403,"07-02-2014","Is there an equation for intelligence? Yes. It's F = T ¡Ô S¥ó. In a fascinating and informative talk, physicist and computer scientist Alex Wissner-Gross explains what in the world that means.","Scientist, entrepreneur, inventor",1,708,316,"['AI', 'TEDx', 'brain', 'cognitive science', 'cosmos', 'engineering', 'extraterrestrial life', 'future', 'gaming', 'intelligence', 'machine learning', 'math', 'mind', 'neuroscience', 'physics', 'programming', 'robots', 'science', 'software', 'universe']",27,"https://www.ted.com/talks/alex_wissner_gross_a_new_equation_for_intelligence
",188,145,366,266,465,164,453,118,105,192,29,48,32,7,"unconvincing","OK"
"493",493,"Why privacy matters","Glenn Greenwald",1822834.162,"10-10-2014","Glenn Greenwald was one of the first reporters to see -- and write about -- the Edward Snowden files, with their revelations about the United States' extensive surveillance of private citizens. In this searing talk, Greenwald makes the case for why you need to care about privacy, even if you're ""not doing anything you need to hide.""","Journalist",1,1237,400,"['Internet', 'Surveillance', 'government', 'intelligence', 'journalism', 'privacy']",31,"https://www.ted.com/talks/glenn_greenwald_why_privacy_matters
",1076,1424,1169,770,111,75,395,49,198,78,62,37,29,36,"courageous","obnoxious"
"494",494,"Why do ambitious women have flat heads?","Dame Stephanie Shirley",1819969.443,"28-03-2015","Dame Stephanie Shirley is the most successful tech entrepreneur you never heard of. In the 1960s, she founded a pioneering all-woman software company in the UK, which was ultimately valued at $3 billion, making millionaires of 70 of her team members. In this frank and often hilarious talk, she explains why she went by ¡°Steve,¡± how she upended the expectations of the time, and shares some sure-fire ways to identify ambitious women ¡¦","Entrepreneur and philanthropist",1,819,86,"['entrepreneur', 'philanthropy', 'software', 'technology', 'women', 'women in business']",31,"https://www.ted.com/talks/dame_stephanie_shirley_why_do_ambitious_women_have_flat_heads
",544,426,1417,144,529,385,94,30,13,51,56,5,5,14,"confusing","jawdrop"
"495",495,"¡°Am I dying?¡± The honest answer.","Matthew O'Reilly",1819209.129,"26-09-2014","Matthew O¡¯Reilly is a veteran emergency medical technician on Long Island, New York. In this talk, O¡¯Reilly describes what happens next when a gravely hurt patient asks him: ¡°Am I going to die?¡±","Emergency medical technician",1,333,263,"['death', 'health', 'medicine']",39,"https://www.ted.com/talks/matthew_o_reilly_am_i_dying_the_honest_answer
",891,1146,85,362,455,393,134,116,47,9,72,10,17,22,"courageous","ingenious"
"496",496,"The math behind basketball's wildest moves","Rajiv Maheswaran",1817447.33,"07-07-2015","Basketball is a fast-moving game of improvisation, contact and, ahem, spatio-temporal pattern recognition. Rajiv Maheswaran and his colleagues are analyzing the movements behind the key plays of the game, to help coaches and players combine intuition with new data. Bonus: What they're learning could help us understand how humans move everywhere.","Researcher",1,728,42,"['math', 'sports', 'technology', 'visualizations']",21,"https://www.ted.com/talks/rajiv_maheswaran_the_math_behind_basketball_s_wildest_moves
",251,34,253,82,25,44,58,20,7,22,77,9,22,3,"confusing","OK"
"497",497,"How to raise a black son in America","Clint Smith",1811810.618,"24-04-2015","As kids, we all get advice from parents and teachers that seems strange, even confusing. This was crystallized one night for a young Clint Smith, who was playing with water guns in a dark parking lot with his white friends. In a heartfelt piece, the poet paints the scene of his father's furious and fearful response.","Poet, educator",1,312,171,"['inequality', 'poetry', 'race', 'social change', 'spoken word']",34,"https://www.ted.com/talks/clint_smith_how_to_raise_a_black_son_in_america
",352,694,771,947,314,222,137,17,34,28,46,66,17,17,"beautiful","inspiring"
"498",498,"Let's talk parenting taboos","Rufus Griscom + Alisa Volkman",1809618.977,"16-12-2010","Babble.com publishers Rufus Griscom and Alisa Volkman, in a lively tag-team, expose 4 facts that parents never, ever admit -- and why they should. Funny and honest, for parents and nonparents alike.","Website co-founders",1,1028,219,"['children', 'communication', 'culture', 'entertainment', 'sex', 'web']",32,"https://www.ted.com/talks/rufus_griscom_alisa_volkman_let_s_talk_parenting_taboos
",187,488,702,371,593,98,196,177,188,36,86,71,69,12,"confusing","OK"
"499",499,"Forget Wi-Fi. Meet the new Li-Fi Internet","Harald Haas",1805414.09,"06-11-2015","What if we could use existing technologies to provide Internet access to the more than 4 billion people living in places where the infrastructure can't support it? Using off-the-shelf LEDs and solar cells, Harald Haas and his team have pioneered a new technology that transmits data using light, and it may just be the key to bridging the digital divide. Take a look at what the future of the Internet could look like.","Communications technology innovator",1,444,102,"['Internet', 'communication', 'demo', 'design', 'infrastructure', 'innovation', 'invention', 'solar energy', 'web']",33,"https://www.ted.com/talks/harald_haas_a_breakthrough_new_kind_of_wireless_internet
",557,275,182,323,369,11,39,35,4,42,66,9,13,13,"funny","fascinating"
"500",500,"How bacteria ""talk""","Bonnie Bassler",1804377.922,"08-04-2009","Bonnie Bassler discovered that bacteria ""talk"" to each other, using a chemical language that lets them coordinate defense and mount attacks. The find has stunning implications for medicine, industry -- and our understanding of ourselves.","Molecular biologist",1,1094,420,"['MacArthur grant', 'bacteria', 'biology', 'communication', 'disease', 'evolution', 'health', 'human origins', 'microbiology', 'science']",39,"https://www.ted.com/talks/bonnie_bassler_on_how_bacteria_communicate
",2710,1690,291,1071,924,397,802,55,169,34,85,18,18,36,"funny","jawdrop"
"501",501,"How I started writing songs again","Sting",1800663.842,"30-05-2014","Sting¡¯s early life was dominated by a shipyard?and he dreamed of nothing more than escaping the industrial drudgery. But after a nasty bout of writer¡¯s block that stretched on for years, Sting found himself channeling the stories of the shipyard workers he knew in his youth for song material. In a lyrical, confessional talk, Sting treats us to songs from his upcoming musical, and to an encore of ¡°Message in a Bottle.¡±","Composer, singer, author, actor, activist",1,1395,101,"['creativity', 'live music', 'music', 'performance']",25,"https://www.ted.com/talks/sting_how_i_started_writing_songs_again
",688,145,867,262,112,67,38,25,33,24,16,18,13,7,"confusing","OK"
"502",502,"Teach statistics before calculus!","Arthur Benjamin",1800098.072,"29-06-2009","Someone always asks the math teacher, ""Am I going to use calculus in real life?"" And for most of us, says Arthur Benjamin, the answer is no. He offers a bold proposal on how to make math education relevant in the digital age.","Mathemagician",1,178,398,"['economics', 'education', 'math', 'statistics']",64,"https://www.ted.com/talks/arthur_benjamin_s_formula_for_changing_math_education
",282,1116,159,499,169,24,183,490,253,60,193,26,42,74,"courageous","longwinded"
"503",503,"How I harnessed the wind","William Kamkwamba",1799811.37,"23-09-2009","At age 14, in poverty and famine, a Malawian boy built a windmill to power his family's home. Now at 22, William Kamkwamba, who speaks at TED, here, for the second time, shares in his own words the moving tale of invention that changed his life.","Inventor",1,359,292,"['Africa', 'creativity', 'energy', 'invention', 'poverty']",44,"https://www.ted.com/talks/william_kamkwamba_how_i_harnessed_the_wind
",2576,486,851,294,522,385,122,95,10,47,15,82,7,74,"funny","obnoxious"
"504",504,"How to defend Earth from asteroids","Phil Plait",1792699.36,"22-11-2011","What's six miles wide and can end civilization in an instant? An asteroid -- and there are lots of them out there. With humor and great visuals, Phil Plait shows us all the ways asteroids can kill us (yipes), and what we must do to avoid them.","Astronomer",1,856,157,"['NASA', 'TEDx', 'asteroid', 'astronomy', 'dinosaurs', 'science', 'space', 'technology']",36,"https://www.ted.com/talks/phil_plait_how_to_defend_earth_from_asteroids
",647,570,696,220,106,35,74,170,24,30,180,16,5,25,"confusing","obnoxious"
"505",505,"Glow-in-the-dark sharks and other stunning sea creatures","David Gruber",1789309.06,"27-01-2016","Just a few meters below the waves, marine biologist and explorer-photographer David Gruber discovered something amazing -- a surprising new range of sea creatures that glow in many colors in the ocean's dim blue light. Join his journey in search of biofluorescent sharks, seahorses, sea turtles and more, and learn how these light-up creatures could illuminate a new understanding of our own brains.","Marine biologist, explorer-photographer",1,834,19,"['adventure', 'beauty', 'biodiversity', 'biology', 'environment', 'exploration', 'fish', 'life', 'mission blue', 'nature', 'neuroscience', 'oceans', 'photography', 'science', 'submarine', 'water']",21,"https://www.ted.com/talks/david_gruber_glow_in_the_dark_sharks_and_other_stunning_sea_creatures
",276,215,333,87,7,4,74,21,17,9,11,9,10,4,"confusing","longwinded"
"506",506,"Why I'm a weekday vegetarian","Graham Hill",1784283.398,"18-05-2010","We all know the arguments that being vegetarian is better for the environment and for the animals -- but in a carnivorous culture, it can be hard to make the change. Graham Hill has a powerful, pragmatic suggestion: Be a weekday veg.","Journalist",1,345,650,"['culture', 'food', 'global issues', 'green']",49,"https://www.ted.com/talks/graham_hill_weekday_vegetarian
",438,975,242,780,204,30,455,138,88,18,109,47,115,29,"courageous","ingenious"
"507",507,"The dream we haven't dared to dream","Dan Pallotta",1783135.423,"04-05-2016","What are your dreams? Better yet, what are your broken dreams? Dan Pallotta dreams of a time when we are as excited, curious and scientific about the development of our humanity as we are about the development of our technology. ""What we fear most is that we will be denied the opportunity to fulfill our true potential,"" Pallotta says. ""Imagine living in a world where we simply recognize that deep, existential fear in one another -- and love one another boldly because we know that to be human is to live with that fear.""","Author, speaker, reformer",1,716,64,"['activism', 'big problems', 'collaboration', 'communication', 'community', 'empathy', 'identity', 'personal growth', 'potential', 'self', 'social change', 'society', 'technology']",26,"https://www.ted.com/talks/dan_pallotta_the_dream_we_haven_t_dared_to_dream
",504,327,788,37,120,131,39,49,11,37,22,59,24,66,"confusing","fascinating"
"508",508,"3 lessons on success from an Arab businesswoman","Leila Hoteit",1781797.025,"12-07-2016","Professional Arab women juggle more responsibilities than their male counterparts, and they face more cultural rigidity than Western women. What can their success teach us about tenacity, competition, priorities and progress? Tracing her career as an engineer, advocate and mother in Abu Dhabi, Leila Hoteit shares three lessons for thriving in the modern world.","Women's advocate",1,842,38,"['Middle East', 'business', 'leadership', 'women', 'women in business', 'work']",28,"https://www.ted.com/talks/leila_hoteit_3_lessons_on_success_from_an_arab_businesswoman
",583,956,214,239,71,138,39,10,20,181,59,49,15,8,"courageous","OK"
"509",509,"The killer American diet that's sweeping the planet","Dean Ornish",1780353.737,"14-12-2006","Forget the latest disease in the news: Cardiovascular disease kills more people than everything else combined -- and it¡¯s mostly preventable. Dr. Dean Ornish explains how changing our eating habits can save lives.","Physician, author",1,198,199,"['culture', 'disease', 'food', 'global issues', 'health', 'health care', 'obesity', 'science']",48,"https://www.ted.com/talks/dean_ornish_on_the_world_s_killer_diet
",749,54,8,28,61,151,31,85,31,331,133,14,62,8,"funny","confusing"
